question_id,section,module,original_question_number,jev_choice,correct_choice,correct,jev_answer_text,correct_answer_text,confidence,selected_option_probability,correct_option_probability,explanation_if_wrong
rw_m1_q31,Reading and Writing,1,31,A,A,True,"The real author of Adam Bede was Mary Ann Evans, who published the novel using the pseudonym George Eliot.","The real author of Adam Bede was Mary Ann Evans, who published the novel using the pseudonym George Eliot.",1,1,1,
rw_m1_q32,Reading and Writing,1,32,C,C,True,"When the molten salt in a freeze-thaw battery solidifies at room temperature, energy stops flowing and can be stored in the battery.","When the molten salt in a freeze-thaw battery solidifies at room temperature, energy stops flowing and can be stored in the battery.",1,1,1,
rw_m1_q33,Reading and Writing,1,33,D,D,True,"Likely to soon become endangered, the California red-legged frog is classified as threatened by the FWS.","Likely to soon become endangered, the California red-legged frog is classified as threatened by the FWS.",1,1,1,
rw_m2_q01,Reading and Writing,2,1,C,C,True,Stretching toward,Stretching toward,1,1,1,
rw_m2_q02,Reading and Writing,2,2,D,D,True,obtain,obtain,1,1,1,
rw_m2_q03,Reading and Writing,2,3,A,A,True,reduced,reduced,1,1,1,
rw_m2_q04,Reading and Writing,2,4,A,A,True,a tenuous,a tenuous,1,1,1,
rw_m2_q05,Reading and Writing,2,5,C,C,True,defend,defend,1,1,1,
rw_m2_q06,Reading and Writing,2,6,C,C,True,It emphasizes that Harris always boasts about his own constitution when speaking of a previous boat trip.,It emphasizes that Harris always boasts about his own constitution when speaking of a previous boat trip.,1,1,1,
rw_m2_q07,Reading and Writing,2,7,B,B,True,It identifies a conflict between research findings and recent events that the text goes on to suggest is a consequence of a complicating factor in the data used to generate those findings.,It identifies a conflict between research findings and recent events that the text goes on to suggest is a consequence of a complicating factor in the data used to generate those findings.,1,1,1,
rw_m2_q08,Reading and Writing,2,8,A,A,True,By asserting that language plays a more important role in graphic novels than the author of Text 1 recognizes,By asserting that language plays a more important role in graphic novels than the author of Text 1 recognizes,1,1,1,
rw_m2_q09,Reading and Writing,2,9,A,A,True,Lutie is observing the appearance of the street at a particular time of day and the events occurring on it.,Lutie is observing the appearance of the street at a particular time of day and the events occurring on it.,1,1,1,
rw_m2_q10,Reading and Writing,2,10,D,D,True,It is unclear whether Bosco Verticale can support the plant life included in its design.,It is unclear whether Bosco Verticale can support the plant life included in its design.,1,1,1,
rw_m2_q11,Reading and Writing,2,11,A,A,True,Literary theorist Mikhail Bakhtin argued that there are important characteristics of narratives that are not fully encompassed by two concepts that other theorists have used to analyze narratives.,Literary theorist Mikhail Bakhtin argued that there are important characteristics of narratives that are not fully encompassed by two concepts that other theorists have used to analyze narratives.,1,1,1,
rw_m2_q13,Reading and Writing,2,13,D,D,True,"“Through interbreeding, transgenic fish might introduce the trait of fluorescence into wild fish populations, making those populations more vulnerable to predators.”","“Through interbreeding, transgenic fish might introduce the trait of fluorescence into wild fish populations, making those populations more vulnerable to predators.”",1,1,1,
rw_m2_q15,Reading and Writing,2,15,D,D,True,"“Reading [poetry], however, with a perfect contempt for it, one discovers that there is in / it after all, a place for the genuine.”","“Reading [poetry], however, with a perfect contempt for it, one discovers that there is in / it after all, a place for the genuine.”",1,1,1,
rw_m2_q17,Reading and Writing,2,17,A,A,True,the English dialects spoken in the Upland South acquired their emphasis on the “r” sound from dialects spoken in Scotland.,the English dialects spoken in the Upland South acquired their emphasis on the “r” sound from dialects spoken in Scotland.,1,1,1,
rw_m2_q18,Reading and Writing,2,18,A,A,True,published,published,1,1,1,
rw_m2_q19,Reading and Writing,2,19,B,B,True,instrument,instrument,0.57,0.68,0.68,
rw_m2_q20,Reading and Writing,2,20,A,A,True,them,them,0.99,1,1,
rw_m2_q21,Reading and Writing,2,21,D,C,False,sisters,"sisters,",0.52,0.64,0.23,"The comma after ""sisters"" closes the descriptive phrase that begins after the novel title."
rw_m2_q22,Reading and Writing,2,22,C,B,False,"dislodge, in part due to its sheer size,","dislodge, in part due to its sheer size:",0.51,0.64,0.14,The colon introduces an explanation of the vessel's size. Choice C joins two independent clauses with only a comma.
rw_m2_q23,Reading and Writing,2,23,A,A,True,character Tamatoa the crab,character Tamatoa the crab,0.37,0.53,0.53,
rw_m2_q24,Reading and Writing,2,24,C,C,True,underlie,underlie,0.63,0.73,0.73,
rw_m2_q25,Reading and Writing,2,25,D,C,False,Serra intends,"Serra, intending",0.37,0.53,0.33,"""Intending ... environment"" modifies Serra and is enclosed by commas; ""assembles"" is the main verb."
rw_m2_q26,Reading and Writing,2,26,B,B,True,"Next,","Next,",1,1,1,
rw_m2_q27,Reading and Writing,2,27,C,C,True,"Later,","Later,",1,1,1,
rw_m2_q28,Reading and Writing,2,28,D,D,True,"For this reason,","For this reason,",0.99,1,1,
rw_m2_q29,Reading and Writing,2,29,D,D,True,"Accordingly,","Accordingly,",0.99,1,1,
rw_m2_q30,Reading and Writing,2,30,A,A,True,"In 1037 CE, al-Biruni published his theory that a large landmass existed west of Europe and east of Asia.","In 1037 CE, al-Biruni published his theory that a large landmass existed west of Europe and east of Asia.",1,1,1,
rw_m2_q31,Reading and Writing,2,31,D,D,True,"With a mass of 2.063 solar masses, Sirius A is more massive than the Sun.","With a mass of 2.063 solar masses, Sirius A is more massive than the Sun.",1,1,1,
rw_m2_q32,Reading and Writing,2,32,D,D,True,"In first-class levers, the fulcrum is located between the effort and the load, but in second-class levers, the load is located between the effort and the fulcrum.","In first-class levers, the fulcrum is located between the effort and the load, but in second-class levers, the load is located between the effort and the fulcrum.",1,1,1,
rw_m2_q33,Reading and Writing,2,33,A,A,True,"P waves and S waves both travel beneath Earth’s surface, causing the ground to move.","P waves and S waves both travel beneath Earth’s surface, causing the ground to move.",1,1,1,
math_m1_q02,Math,1,2,B,B,True,130,130,1,1,1,
math_m1_q04,Math,1,4,B,B,True,"(3, 6)","(3, 6)",0.93,0.95,0.95,
math_m1_q09,Math,1,9,B,B,True,770,770,1,1,1,
math_m1_q10,Math,1,10,B,B,True,320,320,0.92,0.94,0.94,
math_m1_q11,Math,1,11,D,C,False,−1,−6,0.99,1,0,"4(x - 7) = -24, so x - 7 = -6."
math_m1_q12,Math,1,12,D,D,True,0.6 ≤ s ≤ 1.8,0.6 ≤ s ≤ 1.8,1,1,1,
math_m1_q15,Math,1,15,C,C,True,726π,726π,0.72,0.79,0.79,
math_m1_q17,Math,1,17,B,B,True,26x,26x,1,1,1,
math_m1_q18,Math,1,18,D,D,True,Kaylani purchased 6 yards more fabric than she used to make the suits.,Kaylani purchased 6 yards more fabric than she used to make the suits.,1,1,1,
math_m1_q19,Math,1,19,B,A,False,−√3/3,−√3,0.34,0.51,0.39,"Tangent has period pi. Subtracting 30*pi leaves 2*pi/3, whose tangent is -sqrt(3)."
math_m1_q22,Math,1,22,B,B,True,−14,−14,0.27,0.45,0.45,
math_m1_q23,Math,1,23,D,D,True,V(x) = 9x(x − 7),V(x) = 9x(x − 7),0.99,1,1,
math_m1_q24,Math,1,24,D,D,True,Neither I nor II,Neither I nor II,0.61,0.71,0.71,
math_m1_q25,Math,1,25,A,A,True,12,12,0.98,0.98,0.98,
math_m1_q26,Math,1,26,C,A,False,4,−6,0.03,0.28,0.27,"f(x) = a(x - 7)(x + 3) = a*x^2 - 4a*x - 21a, so a + b = -3a. Taking a = 2 gives -6."
math_m2_q01,Math,2,1,B,B,True,88,88,1,1,1,
math_m2_q03,Math,2,3,B,B,True,37,37,1,1,1,
math_m2_q04,Math,2,4,B,B,True,2xy(8x²y + 7),2xy(8x²y + 7),0.99,1,1,
math_m2_q05,Math,2,5,D,D,True,c = 25x + 11,c = 25x + 11,1,1,1,
math_m2_q08,Math,2,8,D,D,True,y = 4x + 6,y = 4x + 6,1,1,1,
math_m2_q10,Math,2,10,A,A,True,"The object traveling at 34 meters per second has a kinetic energy of 5,202 joules.","The object traveling at 34 meters per second has a kinetic energy of 5,202 joules.",1,1,1,
math_m2_q12,Math,2,12,D,D,True,98,98,0.36,0.52,0.52,
math_m2_q16,Math,2,16,A,A,True,116,116,0.44,0.59,0.59,
math_m2_q17,Math,2,17,B,B,True,7x³ + 10,7x³ + 10,0.94,0.96,0.96,
math_m2_q18,Math,2,18,C,B,False,72,48,0.29,0.47,0.24,"sqrt(2x) = 4, so 2x = 16, x = 8, and 6x = 48."
math_m2_q22,Math,2,22,D,D,True,"1,944","1,944",1,1,1,
math_m2_q23,Math,2,23,D,D,True,42a(k² + 1)/k,42a(k² + 1)/k,1,1,1,
math_m2_q24,Math,2,24,D,D,True,5x² − 14x + 49 = 0,5x² − 14x + 49 = 0,1,1,1,
math_m2_q25,Math,2,25,A,A,True,8,8,0.88,0.91,0.91,
math_m2_q26,Math,2,26,A,C,False,"(0, 6/5)","(10, 2)",0.1,0.32,0.28,"The radius has slope -5/6, so the tangent has slope 6/5. Its equation is y + 4 = (6/5)(x - 5), which contains (10, 2)."
